test_case,start_time,end_time,latency,input_text,prediction,ground_truth
14,2024-10-23T12:15:30.879033,2024-10-23T12:15:30.948075,0.069042,Obama was a US president,REAL,postive
14,2024-10-23T12:15:30.948139,2024-10-23T12:15:31.021150,0.073011,The Olympic Games are held every 4 years,REAL,positive
15,2024-10-23T12:15:31.021235,2024-10-23T12:15:31.090325,0.06909,Donald Trump won the election,REAL,negative
15,2024-10-23T12:15:31.090389,2024-10-23T12:15:31.164349,0.07396,World War III is coming,FAKE,negative
15,2024-10-23T12:15:31.164421,2024-10-23T12:15:31.232439,0.068018,Obama was a US president,REAL,postive
15,2024-10-23T12:15:31.232516,2024-10-23T12:15:31.312638,0.080122,The Olympic Games are held every 4 years,REAL,positive
16,2024-10-23T12:15:31.312715,2024-10-23T12:15:31.379561,0.066846,Donald Trump won the election,REAL,negative
16,2024-10-23T12:15:31.379620,2024-10-23T12:15:31.450712,0.071092,World War III is coming,FAKE,negative
16,2024-10-23T12:15:31.450795,2024-10-23T12:15:31.517609,0.066814,Obama was a US president,REAL,postive
16,2024-10-23T12:15:31.517667,2024-10-23T12:15:31.594839,0.077172,The Olympic Games are held every 4 years,REAL,positive
17,2024-10-23T12:15:31.594904,2024-10-23T12:15:31.663857,0.068953,Donald Trump won the election,REAL,negative
17,2024-10-23T12:15:31.663917,2024-10-23T12:15:31.742881,0.078964,World War III is coming,FAKE,negative
17,2024-10-23T12:15:31.742943,2024-10-23T12:15:31.812926,0.069983,Obama was a US president,REAL,postive
17,2024-10-23T12:15:31.812985,2024-10-23T12:15:31.887027,0.074042,The Olympic Games are held every 4 years,REAL,positive
18,2024-10-23T12:15:31.887085,2024-10-23T12:15:31.966050,0.078965,Donald Trump won the election,REAL,negative
18,2024-10-23T12:15:31.966108,2024-10-23T12:15:32.044186,0.078078,World War III is coming,FAKE,negative
18,2024-10-23T12:15:32.044321,2024-10-23T12:15:32.142304,0.097983,Obama was a US president,REAL,postive
18,2024-10-23T12:15:32.142363,2024-10-23T12:15:32.226483,0.08412,The Olympic Games are held every 4 years,REAL,positive
19,2024-10-23T12:15:32.226566,2024-10-23T12:15:32.295482,0.068916,Donald Trump won the election,REAL,negative
19,2024-10-23T12:15:32.295548,2024-10-23T12:15:32.365592,0.070044,World War III is coming,FAKE,negative
19,2024-10-23T12:15:32.365658,2024-10-23T12:15:32.435665,0.070007,Obama was a US president,REAL,postive
19,2024-10-23T12:15:32.435728,2024-10-23T12:15:32.508664,0.072936,The Olympic Games are held every 4 years,REAL,positive
20,2024-10-23T12:15:32.508725,2024-10-23T12:15:32.581711,0.072986,Donald Trump won the election,REAL,negative
20,2024-10-23T12:15:32.581771,2024-10-23T12:15:32.651813,0.070042,World War III is coming,FAKE,negative
20,2024-10-23T12:15:32.651872,2024-10-23T12:15:32.736946,0.085074,Obama was a US president,REAL,postive
20,2024-10-23T12:15:32.737009,2024-10-23T12:15:32.804987,0.067978,The Olympic Games are held every 4 years,REAL,positive
21,2024-10-23T12:15:32.805050,2024-10-23T12:15:32.872972,0.067922,Donald Trump won the election,REAL,negative
21,2024-10-23T12:15:32.873030,2024-10-23T12:15:32.939151,0.066121,World War III is coming,FAKE,negative
21,2024-10-23T12:15:32.939211,2024-10-23T12:15:33.011273,0.072062,Obama was a US president,REAL,postive
21,2024-10-23T12:15:33.011335,2024-10-23T12:15:33.079207,0.067872,The Olympic Games are held every 4 years,REAL,positive
22,2024-10-23T12:15:33.079266,2024-10-23T12:15:33.155468,0.076202,Donald Trump won the election,REAL,negative
22,2024-10-23T12:15:33.155531,2024-10-23T12:15:33.228594,0.073063,World War III is coming,FAKE,negative
22,2024-10-23T12:15:33.228674,2024-10-23T12:15:33.298805,0.070131,Obama was a US president,REAL,postive
22,2024-10-23T12:15:33.298882,2024-10-23T12:15:34.398707,1.099825,The Olympic Games are held every 4 years,REAL,positive
23,2024-10-23T12:15:34.398784,2024-10-23T12:15:34.471940,0.073156,Donald Trump won the election,REAL,negative
23,2024-10-23T12:15:34.472198,2024-10-23T12:15:34.543964,0.071766,World War III is coming,FAKE,negative
23,2024-10-23T12:15:34.544032,2024-10-23T12:15:34.610982,0.06695,Obama was a US president,REAL,postive
23,2024-10-23T12:15:34.611057,2024-10-23T12:15:34.683012,0.071955,The Olympic Games are held every 4 years,REAL,positive
24,2024-10-23T12:15:34.683078,2024-10-23T12:15:34.790117,0.107039,Donald Trump won the election,REAL,negative
24,2024-10-23T12:15:34.790187,2024-10-23T12:15:34.857075,0.066888,World War III is coming,FAKE,negative
24,2024-10-23T12:15:34.857138,2024-10-23T12:15:34.925133,0.067995,Obama was a US president,REAL,postive
24,2024-10-23T12:15:34.925198,2024-10-23T12:15:35.009205,0.084007,The Olympic Games are held every 4 years,REAL,positive
25,2024-10-23T12:15:35.009299,2024-10-23T12:15:35.078259,0.06896,Donald Trump won the election,REAL,negative
25,2024-10-23T12:15:35.078317,2024-10-23T12:15:35.146349,0.068032,World War III is coming,FAKE,negative
25,2024-10-23T12:15:35.146409,2024-10-23T12:15:35.213456,0.067047,Obama was a US president,REAL,postive
25,2024-10-23T12:15:35.213514,2024-10-23T12:15:35.284536,0.071022,The Olympic Games are held every 4 years,REAL,positive
26,2024-10-23T12:15:35.284598,2024-10-23T12:15:35.350635,0.066037,Donald Trump won the election,REAL,negative
26,2024-10-23T12:15:35.350696,2024-10-23T12:15:35.416680,0.065984,World War III is coming,FAKE,negative
26,2024-10-23T12:15:35.416752,2024-10-23T12:15:35.483815,0.067063,Obama was a US president,REAL,postive
26,2024-10-23T12:15:35.483875,2024-10-23T12:15:35.562830,0.078955,The Olympic Games are held every 4 years,REAL,positive
27,2024-10-23T12:15:35.562895,2024-10-23T12:15:35.630322,0.067427,Donald Trump won the election,REAL,negative
27,2024-10-23T12:15:35.630388,2024-10-23T12:15:35.699992,0.069604,World War III is coming,FAKE,negative
27,2024-10-23T12:15:35.700057,2024-10-23T12:15:35.767012,0.066955,Obama was a US president,REAL,postive
27,2024-10-23T12:15:35.767073,2024-10-23T12:15:35.840138,0.073065,The Olympic Games are held every 4 years,REAL,positive
28,2024-10-23T12:15:35.840206,2024-10-23T12:15:35.907483,0.067277,Donald Trump won the election,REAL,negative
28,2024-10-23T12:15:35.907547,2024-10-23T12:15:35.975253,0.067706,World War III is coming,FAKE,negative
28,2024-10-23T12:15:35.975316,2024-10-23T12:15:36.043337,0.068021,Obama was a US president,REAL,postive
28,2024-10-23T12:15:36.043440,2024-10-23T12:15:36.111584,0.068144,The Olympic Games are held every 4 years,REAL,positive
29,2024-10-23T12:15:36.111662,2024-10-23T12:15:36.180443,0.068781,Donald Trump won the election,REAL,negative
29,2024-10-23T12:15:36.180503,2024-10-23T12:15:36.250628,0.070125,World War III is coming,FAKE,negative
29,2024-10-23T12:15:36.250708,2024-10-23T12:15:36.327667,0.076959,Obama was a US president,REAL,postive
29,2024-10-23T12:15:36.327732,2024-10-23T12:15:36.395650,0.067918,The Olympic Games are held every 4 years,REAL,positive
30,2024-10-23T12:15:36.395714,2024-10-23T12:15:36.463711,0.067997,Donald Trump won the election,REAL,negative
30,2024-10-23T12:15:36.463771,2024-10-23T12:15:36.531881,0.06811,World War III is coming,FAKE,negative
30,2024-10-23T12:15:36.531943,2024-10-23T12:15:36.612196,0.080253,Obama was a US president,REAL,postive
30,2024-10-23T12:15:36.612263,2024-10-23T12:15:36.682041,0.069778,The Olympic Games are held every 4 years,REAL,positive
31,2024-10-23T12:15:36.682105,2024-10-23T12:15:36.751110,0.069005,Donald Trump won the election,REAL,negative
31,2024-10-23T12:15:36.751171,2024-10-23T12:15:36.829168,0.077997,World War III is coming,FAKE,negative
31,2024-10-23T12:15:36.829237,2024-10-23T12:15:36.897279,0.068042,Obama was a US president,REAL,postive
31,2024-10-23T12:15:36.897338,2024-10-23T12:15:36.965274,0.067936,The Olympic Games are held every 4 years,REAL,positive
32,2024-10-23T12:15:36.965338,2024-10-23T12:15:37.042326,0.076988,Donald Trump won the election,REAL,negative
32,2024-10-23T12:15:37.042388,2024-10-23T12:15:37.110393,0.068005,World War III is coming,FAKE,negative
32,2024-10-23T12:15:37.110455,2024-10-23T12:15:37.196516,0.086061,Obama was a US president,REAL,postive
32,2024-10-23T12:15:37.196574,2024-10-23T12:15:37.269583,0.073009,The Olympic Games are held every 4 years,REAL,positive
33,2024-10-23T12:15:37.269648,2024-10-23T12:15:37.336651,0.067003,Donald Trump won the election,REAL,negative
33,2024-10-23T12:15:37.336711,2024-10-23T12:15:37.402760,0.066049,World War III is coming,FAKE,negative
33,2024-10-23T12:15:37.402826,2024-10-23T12:15:37.471832,0.069006,Obama was a US president,REAL,postive
33,2024-10-23T12:15:37.471897,2024-10-23T12:15:37.545821,0.073924,The Olympic Games are held every 4 years,REAL,positive
34,2024-10-23T12:15:37.545879,2024-10-23T12:15:37.641049,0.09517,Donald Trump won the election,REAL,negative
34,2024-10-23T12:15:37.641123,2024-10-23T12:15:37.743088,0.101965,World War III is coming,FAKE,negative
34,2024-10-23T12:15:37.743150,2024-10-23T12:15:37.816211,0.073061,Obama was a US president,REAL,postive
34,2024-10-23T12:15:37.816277,2024-10-23T12:15:37.884244,0.067967,The Olympic Games are held every 4 years,REAL,positive
35,2024-10-23T12:15:37.884309,2024-10-23T12:15:37.962273,0.077964,Donald Trump won the election,REAL,negative
35,2024-10-23T12:15:37.962336,2024-10-23T12:15:38.028371,0.066035,World War III is coming,FAKE,negative
35,2024-10-23T12:15:38.028434,2024-10-23T12:15:38.106535,0.078101,Obama was a US president,REAL,postive
35,2024-10-23T12:15:38.106601,2024-10-23T12:15:38.176510,0.069909,The Olympic Games are held every 4 years,REAL,positive
36,2024-10-23T12:15:38.176573,2024-10-23T12:15:38.255681,0.079108,Donald Trump won the election,REAL,negative
36,2024-10-23T12:15:38.255754,2024-10-23T12:15:38.324615,0.068861,World War III is coming,FAKE,negative
36,2024-10-23T12:15:38.324672,2024-10-23T12:15:38.392744,0.068072,Obama was a US president,REAL,postive
36,2024-10-23T12:15:38.392804,2024-10-23T12:15:38.458834,0.06603,The Olympic Games are held every 4 years,REAL,positive
37,2024-10-23T12:15:38.458971,2024-10-23T12:15:38.524807,0.065836,Donald Trump won the election,REAL,negative
37,2024-10-23T12:15:38.524872,2024-10-23T12:15:38.614941,0.090069,World War III is coming,FAKE,negative
37,2024-10-23T12:15:38.614997,2024-10-23T12:15:38.687963,0.072966,Obama was a US president,REAL,postive
37,2024-10-23T12:15:38.688020,2024-10-23T12:15:38.759269,0.071249,The Olympic Games are held every 4 years,REAL,positive
38,2024-10-23T12:15:38.759334,2024-10-23T12:15:38.840248,0.080914,Donald Trump won the election,REAL,negative
38,2024-10-23T12:15:38.840307,2024-10-23T12:15:38.908235,0.067928,World War III is coming,FAKE,negative
38,2024-10-23T12:15:38.908302,2024-10-23T12:15:38.977411,0.069109,Obama was a US president,REAL,postive
38,2024-10-23T12:15:38.977474,2024-10-23T12:15:39.046469,0.068995,The Olympic Games are held every 4 years,REAL,positive
39,2024-10-23T12:15:39.046536,2024-10-23T12:15:39.121499,0.074963,Donald Trump won the election,REAL,negative
39,2024-10-23T12:15:39.121558,2024-10-23T12:15:39.194518,0.07296,World War III is coming,FAKE,negative
39,2024-10-23T12:15:39.194577,2024-10-23T12:15:39.280771,0.086194,Obama was a US president,REAL,postive
39,2024-10-23T12:15:39.280835,2024-10-23T12:15:39.349689,0.068854,The Olympic Games are held every 4 years,REAL,positive
40,2024-10-23T12:15:39.349749,2024-10-23T12:15:39.416877,0.067128,Donald Trump won the election,REAL,negative
40,2024-10-23T12:15:39.416938,2024-10-23T12:15:39.485819,0.068881,World War III is coming,FAKE,negative
40,2024-10-23T12:15:39.485878,2024-10-23T12:15:39.554981,0.069103,Obama was a US president,REAL,postive
40,2024-10-23T12:15:39.555045,2024-10-23T12:15:39.628098,0.073053,The Olympic Games are held every 4 years,REAL,positive
41,2024-10-23T12:15:39.628160,2024-10-23T12:15:39.696473,0.068313,Donald Trump won the election,REAL,negative
41,2024-10-23T12:15:39.696534,2024-10-23T12:15:39.767397,0.070863,World War III is coming,FAKE,negative
41,2024-10-23T12:15:39.767515,2024-10-23T12:15:39.832462,0.064947,Obama was a US president,REAL,postive
41,2024-10-23T12:15:39.832531,2024-10-23T12:15:39.900317,0.067786,The Olympic Games are held every 4 years,REAL,positive
42,2024-10-23T12:15:39.900382,2024-10-23T12:15:39.966408,0.066026,Donald Trump won the election,REAL,negative
42,2024-10-23T12:15:39.966477,2024-10-23T12:15:40.032486,0.066009,World War III is coming,FAKE,negative
42,2024-10-23T12:15:40.032555,2024-10-23T12:15:40.099532,0.066977,Obama was a US president,REAL,postive
42,2024-10-23T12:15:40.099601,2024-10-23T12:15:40.177660,0.078059,The Olympic Games are held every 4 years,REAL,positive
43,2024-10-23T12:15:40.177733,2024-10-23T12:15:40.247221,0.069488,Donald Trump won the election,REAL,negative
43,2024-10-23T12:15:40.247422,2024-10-23T12:15:40.320945,0.073523,World War III is coming,FAKE,negative
43,2024-10-23T12:15:40.321020,2024-10-23T12:15:40.389942,0.068922,Obama was a US president,REAL,postive
43,2024-10-23T12:15:40.390015,2024-10-23T12:15:40.463941,0.073926,The Olympic Games are held every 4 years,REAL,positive
44,2024-10-23T12:15:40.464017,2024-10-23T12:15:40.535973,0.071956,Donald Trump won the election,REAL,negative
44,2024-10-23T12:15:40.536040,2024-10-23T12:15:40.604920,0.06888,World War III is coming,FAKE,negative
44,2024-10-23T12:15:40.604977,2024-10-23T12:15:40.676077,0.0711,Obama was a US president,REAL,postive
44,2024-10-23T12:15:40.676156,2024-10-23T12:15:40.752126,0.07597,The Olympic Games are held every 4 years,REAL,positive
45,2024-10-23T12:15:40.752185,2024-10-23T12:15:40.832276,0.080091,Donald Trump won the election,REAL,negative
45,2024-10-23T12:15:40.832334,2024-10-23T12:15:40.902329,0.069995,World War III is coming,FAKE,negative
45,2024-10-23T12:15:40.902388,2024-10-23T12:15:40.975683,0.073295,Obama was a US president,REAL,postive
45,2024-10-23T12:15:40.975782,2024-10-23T12:15:41.069477,0.093695,The Olympic Games are held every 4 years,REAL,positive
46,2024-10-23T12:15:41.069541,2024-10-23T12:15:41.142522,0.072981,Donald Trump won the election,REAL,negative
46,2024-10-23T12:15:41.142581,2024-10-23T12:15:41.214673,0.072092,World War III is coming,FAKE,negative
46,2024-10-23T12:15:41.214730,2024-10-23T12:15:41.286758,0.072028,Obama was a US president,REAL,postive
46,2024-10-23T12:15:41.286839,2024-10-23T12:15:41.405917,0.119078,The Olympic Games are held every 4 years,REAL,positive
47,2024-10-23T12:15:41.405982,2024-10-23T12:15:41.476852,0.07087,Donald Trump won the election,REAL,negative
47,2024-10-23T12:15:41.476914,2024-10-23T12:15:41.549987,0.073073,World War III is coming,FAKE,negative
47,2024-10-23T12:15:41.550047,2024-10-23T12:15:42.673241,1.123194,Obama was a US president,REAL,postive
47,2024-10-23T12:15:42.673308,2024-10-23T12:15:42.801256,0.127948,The Olympic Games are held every 4 years,REAL,positive
48,2024-10-23T12:15:42.801314,2024-10-23T12:15:42.903377,0.102063,Donald Trump won the election,REAL,negative
48,2024-10-23T12:15:42.903442,2024-10-23T12:15:43.020565,0.117123,World War III is coming,FAKE,negative
48,2024-10-23T12:15:43.020624,2024-10-23T12:15:43.087634,0.06701,Obama was a US president,REAL,postive
48,2024-10-23T12:15:43.087691,2024-10-23T12:15:43.155658,0.067967,The Olympic Games are held every 4 years,REAL,positive
49,2024-10-23T12:15:43.155722,2024-10-23T12:15:43.225726,0.070004,Donald Trump won the election,REAL,negative
49,2024-10-23T12:15:43.225783,2024-10-23T12:15:43.298768,0.072985,World War III is coming,FAKE,negative
49,2024-10-23T12:15:43.298833,2024-10-23T12:15:43.368849,0.070016,Obama was a US president,REAL,postive
49,2024-10-23T12:15:43.368909,2024-10-23T12:15:43.460933,0.092024,The Olympic Games are held every 4 years,REAL,positive
50,2024-10-23T12:15:43.460995,2024-10-23T12:15:43.562099,0.101104,Donald Trump won the election,REAL,negative
50,2024-10-23T12:15:43.562156,2024-10-23T12:15:43.639191,0.077035,World War III is coming,FAKE,negative
50,2024-10-23T12:15:43.639254,2024-10-23T12:15:43.711241,0.071987,Obama was a US president,REAL,postive
50,2024-10-23T12:15:43.711305,2024-10-23T12:15:43.780338,0.069033,The Olympic Games are held every 4 years,REAL,positive
51,2024-10-23T12:15:43.780416,2024-10-23T12:15:43.849429,0.069013,Donald Trump won the election,REAL,negative
51,2024-10-23T12:15:43.849486,2024-10-23T12:15:43.924633,0.075147,World War III is coming,FAKE,negative
51,2024-10-23T12:15:43.924738,2024-10-23T12:15:43.994555,0.069817,Obama was a US president,REAL,postive
51,2024-10-23T12:15:43.994616,2024-10-23T12:15:44.062597,0.067981,The Olympic Games are held every 4 years,REAL,positive
52,2024-10-23T12:15:44.062663,2024-10-23T12:15:44.136685,0.074022,Donald Trump won the election,REAL,negative
52,2024-10-23T12:15:44.136747,2024-10-23T12:15:44.214730,0.077983,World War III is coming,FAKE,negative
52,2024-10-23T12:15:44.214776,2024-10-23T12:15:44.286854,0.072078,Obama was a US president,REAL,postive
52,2024-10-23T12:15:44.286917,2024-10-23T12:15:44.353864,0.066947,The Olympic Games are held every 4 years,REAL,positive
53,2024-10-23T12:15:44.353964,2024-10-23T12:15:44.424906,0.070942,Donald Trump won the election,REAL,negative
53,2024-10-23T12:15:44.424973,2024-10-23T12:15:44.499091,0.074118,World War III is coming,FAKE,negative
53,2024-10-23T12:15:44.499148,2024-10-23T12:15:44.566306,0.067158,Obama was a US president,REAL,postive
53,2024-10-23T12:15:44.566365,2024-10-23T12:15:44.641302,0.074937,The Olympic Games are held every 4 years,REAL,positive
54,2024-10-23T12:15:44.641380,2024-10-23T12:15:44.710201,0.068821,Donald Trump won the election,REAL,negative
54,2024-10-23T12:15:44.710273,2024-10-23T12:15:44.781012,0.070739,World War III is coming,FAKE,negative
54,2024-10-23T12:15:44.781077,2024-10-23T12:15:44.847427,0.06635,Obama was a US president,REAL,postive
54,2024-10-23T12:15:44.847494,2024-10-23T12:15:44.915550,0.068056,The Olympic Games are held every 4 years,REAL,positive
55,2024-10-23T12:15:44.915795,2024-10-23T12:15:44.985685,0.06989,Donald Trump won the election,REAL,negative
55,2024-10-23T12:15:44.985790,2024-10-23T12:15:45.069572,0.083782,World War III is coming,FAKE,negative
55,2024-10-23T12:15:45.069635,2024-10-23T12:15:45.136786,0.067151,Obama was a US president,REAL,postive
55,2024-10-23T12:15:45.136845,2024-10-23T12:15:45.216866,0.080021,The Olympic Games are held every 4 years,REAL,positive
56,2024-10-23T12:15:45.216924,2024-10-23T12:15:45.292935,0.076011,Donald Trump won the election,REAL,negative
56,2024-10-23T12:15:45.293008,2024-10-23T12:15:45.363893,0.070885,World War III is coming,FAKE,negative
56,2024-10-23T12:15:45.363953,2024-10-23T12:15:45.436013,0.07206,Obama was a US president,REAL,postive
56,2024-10-23T12:15:45.436075,2024-10-23T12:15:45.505075,0.069,The Olympic Games are held every 4 years,REAL,positive
57,2024-10-23T12:15:45.505135,2024-10-23T12:15:45.595142,0.090007,Donald Trump won the election,REAL,negative
57,2024-10-23T12:15:45.595203,2024-10-23T12:15:45.663207,0.068004,World War III is coming,FAKE,negative
57,2024-10-23T12:15:45.663270,2024-10-23T12:15:45.734284,0.071014,Obama was a US president,REAL,postive
57,2024-10-23T12:15:45.734343,2024-10-23T12:15:45.818475,0.084132,The Olympic Games are held every 4 years,REAL,positive
58,2024-10-23T12:15:45.818553,2024-10-23T12:15:45.890476,0.071923,Donald Trump won the election,REAL,negative
58,2024-10-23T12:15:45.890544,2024-10-23T12:15:45.959539,0.068995,World War III is coming,FAKE,negative
58,2024-10-23T12:15:45.959600,2024-10-23T12:15:46.023527,0.063927,Obama was a US president,REAL,postive
58,2024-10-23T12:15:46.023585,2024-10-23T12:15:46.103869,0.080284,The Olympic Games are held every 4 years,REAL,positive
59,2024-10-23T12:15:46.104139,2024-10-23T12:15:46.186881,0.082742,Donald Trump won the election,REAL,negative
59,2024-10-23T12:15:46.186963,2024-10-23T12:15:46.260864,0.073901,World War III is coming,FAKE,negative
59,2024-10-23T12:15:46.260926,2024-10-23T12:15:46.334913,0.073987,Obama was a US president,REAL,postive
59,2024-10-23T12:15:46.334976,2024-10-23T12:15:46.418017,0.083041,The Olympic Games are held every 4 years,REAL,positive
60,2024-10-23T12:15:46.418081,2024-10-23T12:15:46.490142,0.072061,Donald Trump won the election,REAL,negative
60,2024-10-23T12:15:46.490203,2024-10-23T12:15:46.565192,0.074989,World War III is coming,FAKE,negative
60,2024-10-23T12:15:46.565256,2024-10-23T12:15:46.643188,0.077932,Obama was a US president,REAL,postive
60,2024-10-23T12:15:46.643247,2024-10-23T12:15:46.733339,0.090092,The Olympic Games are held every 4 years,REAL,positive
61,2024-10-23T12:15:46.733399,2024-10-23T12:15:46.814377,0.080978,Donald Trump won the election,REAL,negative
61,2024-10-23T12:15:46.814436,2024-10-23T12:15:46.892465,0.078029,World War III is coming,FAKE,negative
61,2024-10-23T12:15:46.892526,2024-10-23T12:15:46.964601,0.072075,Obama was a US president,REAL,postive
